Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous
3703080,7.88947E+11,Very Slow,22017.0038,13680.50994,0.41948253,163.1787109,62753692,38993336,,,1.407011303,314.3739134,57.25746988,2.005763673,,264.8375333,0.590551388,,1,1,Low,Medium,TRUE
3723955,,Slow,65210.34609,40519.17311,,,57298148,35603420,,2458000.5,1.107775954,136.7172417,,1.497352293,2457794.969,173.741112,0.845329788,1995,1,1,Low,,FALSE
2446862,7.89552E+11,,27326.56018,16979.6618,0.050956016,19.82188988,7622911.5,4736657.5,4.557,2458000.5,1.458823814,259.4759789,248.4150381,1.966856672,2458120.468,,,1995,,8,Medium,,TRUE
3092506,7.90157E+11,Very Slow,40225.94819,24994.83986,,,,26522368,5.093,2458000.5,,57.17326613,,1.527904212,2457902.337,68.74100662,0.700277196,1995,,15,Low,Medium,FALSE
3514799,7.90157E+11,Very Slow,35426.99179,,0.407832171,158.6467133,61010824,,5.154,,1.225614737,84.62930679,158.2635961,,2457814.455,,,,,15,,Low,TRUE
3671135,,,38911.83825,24178.30305,0.392784784,,,36511628,4.724,2458000.5,1.32353218,178.9719508,,2.069264572,,354.2373683,,1995,1,,Low,Low,FALSE
2495323,,Very Slow,38911.82972,,0.392783196,152.7926636,,36511480,4.724,2458000.5,1.323532162,178.9719526,198.1459599,,2458009.403,354.2373962,0.647295109,1995,1,15,Low,Low,FALSE
2153315,7.90762E+11,Fast,87918.78238,54629.31231,0.129179161,50.25069427,19324928,,4.921,2458000.5,,112.5629844,288.3746511,1.794044544,,186.7769323,,1995,1,22,Low,Low,FALSE
2162463,7.90762E+11,,62545.62181,,0.358282927,,53598364,,5.386,2458000.5,1.145550849,80.21113209,353.4223941,1.418397017,,,,1995,1,22,,Low,FALSE
2306383,7.90762E+11,Slow,46438.595,28855.13699,0.151805742,59.05243301,22709816,14111226,,2458000.5,0.876125367,,,,2457900.77,,1.201862243,1995,1,22,Low,Low,TRUE
3444370,,Slow,80716.91873,50154.35431,0.201039988,78.2045517,30075154,18687834,7.033,2458000.5,0.813876725,117.111224,220.9403708,1.201135123,2457996.36,5.556806413,1.342351124,1995,1,22,,Medium,FALSE
3448992,7.90762E+11,Slow,62188.60127,38641.57838,0.431015587,167.6650543,64479012,,,2458000.5,1.240789318,161.9335186,,,,46.68495945,,1995,1,22,Low,Medium,FALSE
3611400,7.90762E+11,Slow,,27107.89491,0.359801412,139.9627533,53825524,33445630,6.384,2458000.5,,20.49127087,128.4631299,1.234290608,,66.77697674,,,1,22,,,FALSE
2162854,7.9223E+11,Very Slow,38987.73464,24225.46212,0.430655991,,64425220,40031976,4.862,2458000.5,,122.4368332,,1.52051299,2457976.985,15.23187455,,1995,,8,Low,,FALSE
3446396,7.9223E+11,,142579.1805,88593.15801,0.300963141,117.0746613,45023444,27976272,,,,163.2099234,199.3714587,3.690061555,,37.51725738,0.353025346,1995,,8,Medium,,FALSE
3764806,7.9223E+11,Fast,,56395.13143,0.495973992,,74196656,46103664,6.89,2458000.5,,,41.64832248,1.207501211,,96.60735473,1.285826904,1995,2,8,Low,,FALSE
3314405,,Very Slow,11120.41414,,0.2388245,,35727636,22200124,3.788,2458000.5,1.95815426,,34.30691815,2.697454147,,,0.359694437,1995,2,15,Medium,Low,FALSE
3426410,7.92835E+11,,,44781.04228,0.478086995,185.9758453,,44440964,6.469,2458000.5,0.907864593,,7.392326564,,2457968.757,36.16756329,1.139390137,1995,,15,,Low,FALSE
3666785,,Very Slow,30694.75504,,0.461259243,,69003400,42876724,5.372,2458000.5,,28.85202161,271.6146744,1.469502839,2457770.913,,0.782286503,1995,2,15,Low,Low,FALSE
3702321,7.92835E+11,,28510.28656,17715.18334,,41.72844696,,9971469,6.519,2458000.5,0.913730316,177.8573023,90.64125634,1.052083571,,203.9869516,,1995,,15,Low,,FALSE
3719196,7.92835E+11,,16759.72294,10413.84007,,,38220508,23749122,6.36,2458000.5,,229.0663218,,1.100138258,2458042.506,314.5094251,1.082952201,1995,2,15,Low,Medium,FALSE
3447920,,,7791.742256,4841.485626,0.422850158,164.4887085,63257484,39306380,3.753,2458000.5,1.978471309,142.2597511,38.66044218,2.78463971,2457957.835,15.11056876,0.354168098,1995,2,15,Medium,,FALSE
3005973,7.9344E+11,Fast,102308.2353,63570.35879,,18.88259506,7261686.5,,6.152,2453548.5,0.906733743,,322.3904958,1.694158469,2453597.575,303.9792986,1.14152232,,2,22,Low,,TRUE
3660308,,,37985.47118,23602.69458,0.019738226,7.678170204,2952796.75,1834782.875,,2458000.5,1.357919278,341.2186362,237.1733163,1.899484655,,,0.622863875,,2,22,Low,,FALSE
3348144,,Slow,63233.66755,39290.94193,0.434048959,168.845047,64932800,40347372,,,0.94032584,195.3700872,,1.313993469,2458097.467,255.1877435,1.080902491,1995,,22,Low,Low,FALSE
3646046,,,,43000.29881,0.102048126,39.69672394,,9485966,5.149,2458000.5,1.183993437,,55.21650962,1.479310862,2457816.155,141.0296512,,1995,2,22,Low,,TRUE
3780693,,Very Slow,25790.93301,16025.48279,0.211596871,82.31118774,31654442,,5.874,2458000.5,,,,1.363199477,2457901.624,92.63701924,,1995,2,22,Low,High,FALSE
2162173,,Slow,,30368.83139,0.350744911,136.4397736,52470692,32603776,5.308,,1.189560559,251.5911063,211.446774,1.415915205,2457797.751,154.0217068,0.759668711,,,8,Low,Low,TRUE
3092312,7.9465E+11,Slow,,25657.90969,0.051770366,20.13867188,7744736.5,4812356.5,5.089,,,,292.6184517,1.763802986,2457751.689,178.6926558,,1995,3,8,,,FALSE
3273782,7.9465E+11,Slow,42950.31311,26687.65428,0.097544116,37.944664,,,7.48,2455882.5,,352.9223652,,1.057832607,2455988.219,203.6522586,1.478900976,1995,3,8,Low,Low,FALSE
3600106,7.9465E+11,Very Slow,35546.91538,22087.47084,0.146699984,,,13636615,5.349,2458000.5,,336.8735047,,1.446664836,2457796.516,,,1995,,8,Low,Medium,FALSE
3684008,7.9465E+11,Slow,57379.34578,35653.29405,0.172902903,67.25922394,25865906,16072328,,2458000.5,1.442414905,151.7319137,97.07781957,2.073325675,,317.5623087,0.568943017,1995,,8,Medium,Medium,FALSE
3751815,7.9465E+11,,,,,129.6083069,,30971322,6.708,2458000.5,0.865355365,64.12627503,292.8831881,1.310067172,,140.1980047,,1995,3,8,Low,,FALSE
2483656,7.9465E+11,,42950.20292,26687.58581,0.097543755,37.94451904,,9067258,7.48,2456125.5,0.762953501,352.9209235,,1.057793118,,203.0327732,1.47896184,1995,,8,Low,Low,FALSE
3182169,7.95254E+11,Very Slow,13816.86035,8585.2597,,33.64254761,12937927,8039255,5.694,2458000.5,1.08505392,143.9720934,2.124647144,1.275511373,,343.2780838,0.872021301,1995,3,15,Low,Low,FALSE
2267221,7.95859E+11,Slow,52742.18585,32771.9432,,191.9521637,,45869068,5.679,2458000.5,1.039069958,211.1661459,111.2704878,1.724513416,2458022.991,339.0708465,0.930543952,,3,22,Low,,TRUE
2382875,,,,16810.02469,0.499180379,194.1811676,,46401716,,,1.298712854,42.77459458,283.6789059,,,282.4479213,,,3,22,Low,,FALSE
2396793,7.95859E+11,Slow,,32172.93271,0.420966184,163.7558441,62975644,,,2458000.5,1.067729565,228.3483096,179.9055931,,2458175.962,,,,3,22,Low,Low,FALSE
2419472,7.95859E+11,Slow,59537.69736,36994.40978,0.37246233,144.8878479,55719572,34622536,5.118,,,,,1.470259485,,196.5243824,0.726894008,,3,22,Low,Low,TRUE
3647009,7.95859E+11,Very Slow,26420.907,16416.92413,0.071064889,27.64424133,,6605894,,2458000.5,,330.7831998,290.4836428,1.404419606,2457820.163,,,,,,Low,,FALSE
3713321,,Very Slow,,,,153.0773468,58869008,36579508,4.698,2458000.5,1.408325756,158.2260558,28.4122282,1.725882064,2457721.451,,,1995,3,22,Low,Medium,FALSE
3747315,7.95859E+11,Fast,82168.66311,51056.41181,0.472964258,183.9830933,70754448,,,2458000.5,0.841631581,171.1772581,218.2204921,,2457932.079,87.33995138,1.276500647,1995,,22,Low,High,FALSE
3771614,,,73347.20038,45575.09792,0.224380966,,33566916,20857514,,2458000.5,1.235912133,356.5439055,,,,90.33855226,0.717336088,1995,3,22,Low,,FALSE
2312942,7.97324E+11,Fast,,51360.00677,0.086732912,33.73910141,,8062327.5,,2458000.5,,,299.7393342,4.020893403,2458582.733,191.4543291,,1995,4,8,High,,FALSE
3170221,7.97324E+11,,27059.26388,16813.57427,,91.82387543,35312740,,,,0.988667858,264.4056022,87.81644304,,2457942.407,58.24402434,,1995,,8,Low,,FALSE
3601408,,,77525.04416,,0.467475832,,69933392,43454592,,2458000.5,,190.8023227,16.17455003,3.251179614,,217.6120228,0.291920064,1995,,,High,Low,FALSE
3772759,7.97324E+11,,48932.03858,,0.322858367,125.5919037,48298924,30011560,5.916,,1.033210408,10.44411033,,,2458145.012,224.3796114,,1995,4,8,Low,Medium,FALSE
